SKU,Category,,Customer,State Code,State,,Ship Mode,Sort Order,,Order Priority,Sort Order
SKU001,Bikes,,C001,VA,Virginia,,Delivery Truck,1,,Critical,1
SKU002,Components,,C002,NJ,New Jersey,,Express Air,3,,High,2
SKU003,Bikes,,C003,NY,New York,,Regular Air,2,,Low,4
SKU004,Bikes,,C004,IA,Iowa,,,,,Medium,3
SKU005,Components,,C005,LA,Louisiana,,,,,Not Specified,5
SKU006,Bikes,,C006,MI,Michigan,,,,,,
SKU007,Components,,C007,IL,Illinois,,,,,,
SKU008,Bikes,,C008,NM,New Mexico,,,,,,
SKU009,Bikes,,C009,IA,Iowa,,,,,,
SKU010,Components,,C010,LA,Louisiana,,,,,,
SKU011,Bikes,,C011,OK,Oklahoma,,,,,,
SKU012,Components,,C012,NC,North Carolina,,,,,,
SKU013,Components,,C013,OK,Oklahoma,,,,,,
SKU014,Components,,C014,UT,Utah,,,,,,
SKU015,Components,,C015,OK,Oklahoma,,,,,,
SKU016,Components,,C016,MD,Maryland,,,,,,
SKU017,Components,,C017,AL,Alabama,,,,,,
SKU018,Bikes,,C018,OR,Oregon,,,,,,
SKU019,Components,,C019,ID,Idaho,,,,,,
SKU020,Components,,C020,MO,Missouri,,,,,,
SKU021,Components,,C021,VT,Vermont,,,,,,
SKU022,Bikes,,C022,FL,Florida,,,,,,
SKU023,Components,,C023,NC,North Carolina,,,,,,
SKU024,Bikes,,C024,RI,Rhode Island,,,,,,
SKU025,Components,,C025,WA,Washington,,,,,,
SKU026,Components,,C026,TX,Texas,,,,,,
SKU027,Components,,C027,NV,Nevada,,,,,,
SKU028,Components,,C028,KY,Kentucky,,,,,,
SKU029,Accessories,,C029,IA,Iowa,,,,,,
SKU030,Bikes,,C030,MA,Massachusetts,,,,,,
SKU031,Components,,C031,NC,North Carolina,,,,,,
SKU032,Components,,C032,TN,Tennessee,,,,,,
SKU033,Components,,C033,OR,Oregon,,,,,,
SKU034,Components,,C034,FL,Florida,,,,,,
SKU035,Bikes,,C035,UT,Utah,,,,,,
SKU036,Components,,C036,OR,Oregon,,,,,,
SKU037,Bikes,,C037,RI,Rhode Island,,,,,,
SKU038,Components,,C038,NY,New York,,,,,,
SKU039,Bikes,,C039,GA,Georgia,,,,,,
SKU040,Bikes,,C040,MT,Montana,,,,,,
SKU041,Bikes,,C041,VA,Virginia,,,,,,
SKU042,Bikes,,C042,IN,Indiana,,,,,,
SKU043,Bikes,,C043,WA,Washington,,,,,,
SKU044,Bikes,,C044,CO,Colorado,,,,,,
SKU045,Bikes,,C045,VA,Virginia,,,,,,
SKU046,Bikes,,C046,KY,Kentucky,,,,,,
SKU047,Bikes,,C047,MA,Massachusetts,,,,,,
SKU048,Components,,C048,IA,Iowa,,,,,,
SKU049,Components,,C049,VA,Virginia,,,,,,
SKU050,Bikes,,C050,ME,Maine,,,,,,
SKU051,Bikes,,C051,IL,Illinois,,,,,,
SKU052,Bikes,,C052,RI,Rhode Island,,,,,,
SKU053,Bikes,,C053,NC,North Carolina,,,,,,
SKU054,Bikes,,C054,WA,Washington,,,,,,
SKU055,Bikes,,C055,TX,Texas,,,,,,
SKU056,Bikes,,C056,CA,California,,,,,,
SKU057,Bikes,,C057,OK,Oklahoma,,,,,,
SKU058,Bikes,,C058,ID,Idaho,,,,,,
SKU059,Bikes,,C059,MN,Minnesota,,,,,,
SKU060,Bikes,,C060,AL,Alabama,,,,,,
SKU061,Components,,C061,MO,Missouri,,,,,,
SKU062,Bikes,,C062,DE,Delaware,,,,,,
SKU063,Components,,C063,IN,Indiana,,,,,,
SKU064,Bikes,,C064,VA,Virginia,,,,,,
SKU065,Components,,C065,WA,Washington,,,,,,
SKU066,Components,,C066,ND,North Dakota,,,,,,
SKU067,Clothing,,C067,IN,Indiana,,,,,,
SKU068,Components,,C068,KS,Kansas,,,,,,
SKU069,Components,,C069,FL,Florida,,,,,,
SKU070,Bikes,,C070,LA,Louisiana,,,,,,
SKU071,Bikes,,C071,FL,Florida,,,,,,
SKU072,Bikes,,C072,ID,Idaho,,,,,,
SKU073,Components,,C073,FL,Florida,,,,,,
SKU074,Bikes,,C074,MD,Maryland,,,,,,
SKU075,Components,,C075,TN,Tennessee,,,,,,
SKU076,Bikes,,C076,WA,Washington,,,,,,
SKU077,Bikes,,C077,MN,Minnesota,,,,,,
SKU078,Components,,C078,FL,Florida,,,,,,
SKU079,Components,,C079,WV,West Virginia,,,,,,
SKU080,Components,,C080,RI,Rhode Island,,,,,,
SKU081,Components,,C081,CT,Connecticut,,,,,,
SKU082,Components,,C082,MD,Maryland,,,,,,
SKU083,Components,,C083,NH,New Hampshire,,,,,,
SKU084,Accessories,,C084,UT,Utah,,,,,,
SKU085,Clothing,,C085,OH,Ohio,,,,,,
SKU086,Components,,C086,CA,California,,,,,,
SKU087,Components,,C087,WI,Wisconsin,,,,,,
SKU088,Components,,C088,IL,Illinois,,,,,,
SKU089,Components,,C089,NM,New Mexico,,,,,,
SKU090,Accessories,,C090,TN,Tennessee,,,,,,
SKU091,Components,,C091,WV,West Virginia,,,,,,
SKU092,Components,,C092,RI,Rhode Island,,,,,,
SKU093,Components,,C093,OR,Oregon,,,,,,
SKU094,Components,,C094,ME,Maine,,,,,,
SKU095,Accessories,,C095,MT,Montana,,,,,,
SKU096,Components,,C096,MO,Missouri,,,,,,
SKU097,Clothing,,C097,ME,Maine,,,,,,
SKU098,Accessories,,C098,ND,North Dakota,,,,,,
SKU099,Components,,C099,MT,Montana,,,,,,
SKU100,Components,,C100,KY,Kentucky,,,,,,
SKU1000,Components,,C101,KS,Kansas,,,,,,
SKU1001,Accessories,,C102,WV,West Virginia,,,,,,
SKU1002,Accessories,,C103,MT,Montana,,,,,,
SKU1003,Components,,C104,DE,Delaware,,,,,,
SKU1004,Components,,C105,WI,Wisconsin,,,,,,
SKU1005,Accessories,,C106,MA,Massachusetts,,,,,,
SKU1006,Clothing,,C107,IL,Illinois,,,,,,
SKU1007,Accessories,,C108,DE,Delaware,,,,,,
SKU1008,Accessories,,C109,VA,Virginia,,,,,,
SKU1009,Components,,C110,AL,Alabama,,,,,,
SKU101,Components,,C111,NH,New Hampshire,,,,,,
SKU1010,Clothing,,C112,NJ,New Jersey,,,,,,
SKU1011,Components,,C113,NY,New York,,,,,,
SKU1012,Accessories,,C114,NV,Nevada,,,,,,
SKU1013,Components,,C115,DE,Delaware,,,,,,
SKU1014,Components,,C116,NJ,New Jersey,,,,,,
SKU1015,Accessories,,C117,DE,Delaware,,,,,,
SKU1016,Components,,C118,NV,Nevada,,,,,,
SKU1017,Components,,C119,MI,Michigan,,,,,,
SKU1018,Clothing,,C120,OK,Oklahoma,,,,,,
SKU1019,Components,,C121,IL,Illinois,,,,,,
SKU102,Accessories,,C122,WA,Washington,,,,,,
SKU1020,Bikes,,C123,NM,New Mexico,,,,,,
SKU1021,Components,,C124,KS,Kansas,,,,,,
SKU1022,Bikes,,C125,MI,Michigan,,,,,,
SKU1023,Components,,C126,MI,Michigan,,,,,,
SKU1024,Components,,C127,NY,New York,,,,,,
SKU1025,Bikes,,C128,LA,Louisiana,,,,,,
SKU1026,Accessories,,C129,MO,Missouri,,,,,,
SKU1027,Components,,C130,IN,Indiana,,,,,,
SKU1028,Components,,C131,TX,Texas,,,,,,
SKU1029,Components,,C132,DE,Delaware,,,,,,
SKU103,Components,,C133,PA,Pennsylvania,,,,,,
SKU1030,Accessories,,C134,PA,Pennsylvania,,,,,,
SKU1031,Components,,C135,IA,Iowa,,,,,,
SKU1032,Components,,C136,TX,Texas,,,,,,
SKU1033,Accessories,,C137,WA,Washington,,,,,,
SKU1034,Bikes,,C138,UT,Utah,,,,,,
SKU1035,Components,,C139,WI,Wisconsin,,,,,,
SKU1036,Components,,C140,WI,Wisconsin,,,,,,
